Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Leading and Working in Teams,"Organizations thrive, or fail to thrive, based on how well the teams within those organizations work. What does it take to create a high-performing team? Based on her years of research working with teams across different industries, Harvard Business School professor Amy Edmondson reveals how high performance arises when teams are encouraged to take risks, fail, and learn from those small failures, a process she calls ""teaming."" In this course, she outlines what leaders can do to create the right environment for teaming and explains the responsibilities of individual team members to speak up, collaborate, experiment, and reflect.",Course,2020-10-22 05:34 UTC,N/A,false,N/A,
LinkedIn Premium Quick Tips (2021),"Find your next job, or simply get ahead in your field, with LinkedIn Premium. In this course, instructor Oliver Schinkten provides quick answers to common ""How do I...."" questions. Oliver covers features you can use to improve your productivity, ranging from InMail to privacy settings to out-of-office replies. He also offers quick help for using Premium features that benefit job-hunters, such as Job Insights, Top Applicant, Resume Builder, and Interview Prep.",Course,2022-10-09 12:51 UTC,N/A,false,N/A,
SAP ERP Essential Training,"The SAP Enterprise Resource Planning (ERP) platform helps large organizations streamline their processes across each segment of their business, from sales to financial accounting. In this course, instructor Justin Valley covers key concepts within SAP ERP and shares valuable tips to help you use this enterprise software most effectively. Justin explains the difference between master data and transactional data in SAP before diving into commonly used SAP modules, including SAP Materials Management (MM) and SAP Sales and Distribution (SD). He also shows how end users can navigate inside SAP, use various search methods to find data, run and export reports from SAP, and more.",Course,2023-04-20 23:14 UTC,N/A,false,N/A,
Scrum: The Basics,"If you've spent any time in the project management world, you've likely heard of scrum—the popular framework for managing complex processes. If this mysterious-sounding framework has piqued your interest, this course can help provide you with a basic understanding of what scrum is and how you can start implementing it at work. Follow scrum expert Kelley O'Connell as she walks through why scrum has taken the business world by storm, and how it asks you to organize your team and work. Plus, she explains how to manage your projects and measure how they're faring, and set manageable improvement goals.",Course,2020-10-31 06:34 UTC,N/A,false,N/A,
HTML and CSS: Linking,"Hyperlinks are the foundation of the World Wide Web, but they come in many different flavors.  Do you want to link to a specific point in a document?  Make a phone call, or send an email?  Link from images or dedicated navigation bars instead of text?  In this course, instructor Jen Kramer gives you all the tools you need to make those tasks easy. Jen goes over basic links, linking to different files and resources, and linking from images, headers, text, and more. She shows you how you can style links and individual link states using CSS selectors, then goes into how you can make exceptions and create different styles. Jen covers the steps you should take to maintain links and redirect them when necessary.",Course,2022-10-10 14:25 UTC,N/A,false,N/A,
Creating Maps with R,"If you need to learn more about creating maps with R, this beginner-friendly course introduces an end-to-end mapping workflow and shows you how to import your data directly from Excel to create both static and interactive maps. Instructor Charlie Joey Hadley explains mapping fundamentals, like geo markers, scatter plots, hexbin maps, cartograms, and more. Charlie walks you through processing GIS data from Excel and working with GIS data formats such as raster, vector, sf, and sp. She demonstrates how to create, label, and transform static maps with ggplot2, then dives into building interactive, mobile-ready maps using Leaflet, an HTML widget package for creating interactive maps with R. Plus, Charlie covers base maps and tiles, projections, the Coordinate Reference System (CRS), and more.",Course,2022-11-17 16:44 UTC,N/A,false,N/A,
SQL: Data Reporting and Analysis (2019),"Do you rely on IT to get the data you need? Are you often stuck waiting in line for data, and wish you could just retrieve it yourself? In this course, learn how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database; you'll be able to manipulate it: merging it, grouping it, and relabeling it to get just the report you want. Join Emma Saunders as she shows how to write simple SQL queries for data reporting and analysis using a publicly accessible online database. Learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, she introduces views, procedures, functions, and variables.",Course,2022-06-09 02:51 UTC,N/A,false,N/A,
SQL for Non-Programmers,"Do you want to learn about SQL but aren’t sure where to start? In this beginner-level course, instructor Julianne Thouin covers basic concepts of relational database design and explains how to write simple SELECT statements using joins and proper filtering. Julianne explains what SQL Server is and what it is used for. Next, she shows how tables in a relational database relate to one another through surrogate, primary, and foreign keys. Julianne teaches you how to tackle the most basic query possible. She explains how AND and OR logic applies to filtering queries on more than one data point, then discusses INNER joins and OUTER joins. Julianne covers how to use subqueries for filtering your results. She walks you through some commonly used examples of built-in functions. In conclusion, Julianne shows you how aggregate functions work using the GROUP BY and HAVING clauses.",Course,2022-06-15 03:23 UTC,N/A,false,N/A,
Decision-Making Strategies,"<div><a href=""https://www.linkedin.com/newsletters/the-thoughtleaders-brief-6922396815786999808/?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Mike's LinkedIn Newsletter</a></div><br>Learn the art and science of business decision-making from leadership trainer and coach Mike Figliuolo. Mike outlines the four styles of decision making—autocratic, participatory, democratic, and consensual—and reveals which styles are best suited for specific situations. Recognizing that ambiguity is a part of any decision-making process, Mike covers the four types of ambiguity you'll face so that you can recognize what you don't know in order to reduce risk and plan for contingencies. He also presents techniques for involving stakeholders in the decision-making process, and explains how to use a RACI (responsible, accountable, consulted, and informed) matrix. By applying these major concepts, you'll have the tools to help you make better decisions faster, incur less risk, and gain more support for your decisions.",Course,2022-08-05 12:33 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2022-06-24 00:58 UTC,N/A,false,N/A,
Excel for Business Analysts,"Business analytics is one of today’s fastest growing careers, but it's also an area where companies face a shortage of talent. In this course, Professor Michael McDonald walks you through everything you need to know to start implementing business analytics skills and concepts. Michael begins with the basics, explaining what you should know about business analytics, including definitions and uses. He demonstrates how to get started in business analytics, including accessing and integrating the correct data and constructing a data map. Michael shows how to use predictive tools in business analytics that can equip firms to make better decisions. Finally, Michael covers how business analytics can provide significant guidance for management in developing a strategy and understanding the market.",Course,2022-11-14 21:25 UTC,N/A,false,N/A,
Intermediate SQL for Data Scientists,"There is an increasing need for data scientists and analysts to understand relational data stores. Organizations have long used SQL databases to store transactional data as well as business intelligence related data. This course was designed for data scientists who need to work with SQL databases. Specifically, it was designed to help these professionals learn how to perform common data science tasks, including exploration and extraction of data within relational databases.<br><br>Instructor Dan Sullivan kicks off the course with a brief overview of SQL data manipulation and data definition commands. He then focuses on how to use SQL queries to prepare data for analysis; leverage statistical functions to better understand that data; and work with aggregates, window operations, and more.",Course,2022-09-09 02:38 UTC,N/A,false,N/A,
Power BI: Dashboards for Beginners,"Get a short and simple beginner's guide to Power BI. In this quick course, Joshua Rischin demystifies the process of building dashboards in Power BI, the powerful business analytics and data visualization tool from Microsoft. Joshua begins with a quick primer on how Power BI dashboards work, including the building blocks of a dashboard. Next, he shows how to select the right data and connect it to your dashboard. You can then learn how to prepare and adjust the dashboard’s layout, select and configure a chart type, apply dashboard filters, and enhance the dashboard with finishing touches to wow your stakeholders when you share your review. These lessons make it easy even for novice users to turn raw data into a powerful story that can help drive better business decisions.",Course,2023-04-13 11:26 UTC,N/A,false,N/A,
C++ Essential Training,"Whether you are a beginning programmer or an advanced one, it may be time to level up your C++ skills. In this course, Bill Weinman helps you do exactly that. Bill discusses the history of C++ and modern C++, as well. He explains the C++ toolchain, then dives into basics you need to know, like basic syntax, statements and expressions, identifiers, variables, pointers, and references. Bill discusses flow control conditionals, loops, and functions. He deep dives into data types, operators, and functions, then walks you through how to use classes and objects. Plus, Bill covers how to to use templates, including the Standard Template Library (STL).
<br><br>
Note: This course was created by Bill Weinman. We are pleased to host this training in our library.",Course,2022-12-20 01:03 UTC,N/A,false,N/A,
Photoshop for Fashion Design: 2 Rendering Techniques,"Harness the power of Adobe Photoshop to render professional-looking fashion and costume illustrations. In this course, the second installment in the Photoshop for Fashion Design series, Robin Schneider goes beyond the basics, sharing more specific Photoshop techniques that can help you quickly bring your ideas to life. Discover how to add textures like wool, flannel, denim, and leather using filters. See how to render faces and create custom brushes to paint fur, hair, and lace in your designs. Plus, get tips for making your designs pop, including how to paint quick and easy watercolor illustrations, make a brush to illustrate gold lamé, and add drama to your layouts.",Course,2021-02-15 09:35 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-11-30 16:15 UTC,N/A,false,N/A,
Miss Excel’s Top Productivity Hacks,"Want to become an Excel power user? Follow along with Excel MVP Kat Norton, a.k.a. Miss Excel, as she introduces you to her favorite productivity hacks for cleaning, analyzing, and formatting data in Excel. These tips and tricks can save you hours each week and help you do more with your data. Kat covers the hottest topics in Excel including the new XLOOKUP function, dropdown menus, Flash Fill, and more.",Course,2022-09-07 06:49 UTC,N/A,false,N/A,
Cover Letter Tips,"Cover letters offer job seekers an opportunity to explain how their education, skills, and experiences line up directly with the job they’re vying for. A great cover letter connects the dots for hiring managers—and allows applicants to showcase a bit of their personality in the process. In this course, career strategist and Certified Professional Resume Writer Jenny Foss answers some of the most common questions people ask about how to create a memorable, results-generating cover letter. Get tips on how to tie your strengths to what the employer is seeking, explain missing skills, address a career gap, ensure that decision-makers actually read your letter, and land the interview.",Course,2022-06-13 14:08 UTC,N/A,false,N/A,
Implementing a Data Warehouse with SQL Server 2022,"Data warehouses solve fundamentally different problems than a traditional transactional database, and SQL Server Data Warehouses provide a different model for storing valuable data. In this course, database expert Adam Wilbert guides you through the process of developing data warehouses in SQL Server 2022 to provide a robust, trustworthy platform to serve all your business intelligence reporting and analysis workloads. Explore data warehouse foundations, then get started creating a data warehouse in SQL Server. Learn about columnstore indexes, as well as how to automate the tasks associated with integrating multiple data sources together into a warehouse. Find out how to implement an Azure Synapse Analytics Dedicated SQL Pool and enforce data quality using Data Quality Services. Discover ways to use Master Data Services, plus learn how to consume data from your warehouse with business intelligence applications.",Course,2023-05-02 01:06 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: R,"SQL Server now includes support for direct execution of R code. This integration allows complex data science analyses to be performed quickly in a secure environment, without having to export data sets first. In this course, database expert Adam Wilbert walks through the steps of enabling the required components—including Machine Learning Services for R—and writing basic R scripts. He also shows how to retrieve and work with data stored in SQL Server tables, create data visualizations with external R libraries, and package scripts as stored procedures. At the end of the course, traditional SQL Server users will be able to dive deeper into using R and traditional R developers will be able to take advantage of using SQL Server as the source of data to create higher-performing analyses.",Course,2022-11-04 21:16 UTC,N/A,false,N/A,
GitHub for Data Scientists,"Version control is rapidly becoming an essential skill for data scientists. In this course, learn how to get the most out of GitHub, not just as a code repository, but also as a resource for finding software and connecting with an engaged community. Review foundational GitHub concepts, from how GitHub actually works, to key terminology, to how GitHub facilitates collaboration for  data science projects. Learn how to effectively use repositories in GitHub, including how to create and clone a repository and resolve common merge issues. Plus, learn how to create a strong data science portfolio with GitHub, contribute to open-source repositories, and more.",Course,2022-12-02 23:08 UTC,2022-12-02 23:07 UTC,true,N/A,
Financial Modeling Foundations,"By distilling key information regarding cash flow levels and risks, financial modeling helps decision-makers make informed choices based on data analytics that move their firms forward. In this course, learn how to build financial models that can be used in corporate finance, investment banking, commercial banking, and portfolio management. Professor Michael McDonald covers financial statement models, investment banking models, M&A models, buyout models, and DCF models—all using Microsoft Excel. Throughout the course, Michael includes exercises—together with downloadable exercise files—that can provide you with a practical understanding of these key topics.",Course,2023-04-30 20:45 UTC,N/A,false,N/A,
Excel: Advanced Formulas and Functions (2022),"Follow along with Excel expert Dennis Taylor as he demystifies the hundreds of formulas and functions available in Excel. Dennis starts with a few critical formula shortcuts that will speed up your work, then covers a variety of functions, such as VLOOKUP, MATCH, and INDEX, statistical functions, text functions, and date and time, math, text, and information functions. Dennis provides practical examples to help viewers easily transition to using Excel's most powerful formulas and functions in real-world scenarios. Note that this course is recorded in Excel for Office 365 but anyone using a recent version—including 2019, 2016, and 2013—will be able to follow along.",Course,2021-01-18 03:15 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists,"Many data scientists know how to work with SQL—the industry-standard language for data analysis. But as data sizes grow, you need to know how to do more than simply read and write from a database. This course provides a more sophisticated approach to designing data models and optimizing queries in SQL. Instructor Dan Sullivan begins with the logical and physical design of tables—with particular focus on very large databases—and then presents a deep dive review of indexes, including specialized indexes and when to use them. The next section introduces query optimization and shows how to optimize basic, multi-join, and more complex queries. The course also covers SQL extensions, including user-defined functions and specialized data types. The techniques taught here enable more efficient analysis of large data sets using SQL, statistics, and custom business logic.",Course,2022-10-16 00:14 UTC,N/A,false,N/A,
Business Analytics: Forecasting with Seasonal Baseline Smoothing,"Seasonal exponential smoothing is an extension of simple exponential smoothing (SES). Seasonal smoothing is often used when a baseline shows regular seasonal peaks and valleys. Residential water usage is a familiar example: consumption rises during the summer and fall and drops during winter and spring—but the overall annual consumption tends to remain stationary over several years. In this course, veteran business analytics consultant and instructional expert Conrad Carlberg shows how to incorporate seasonal variation for more accurate and insightful forecasts. Learn how to identify seasonality, perform seasonal smoothing of horizontal baselines, and optimize your forecasts with R and Microsoft Excel.",Course,2021-03-21 19:31 UTC,N/A,false,N/A,
Location Photography: From Research to Post-Production,"When you're on location, getting the right shot can require imagination, resourcefulness, and even a bit of improvisation. In this course, follow along with photographer Joe McNally as he goes on location to photograph a belly dancer. Throughout the course, Joe highlights his entire workflow—from researching the subject and gathering the right gear for the shoot, to setting up the shot and dealing with on-set challenges, all the way to post-production. He discusses several techniques for working with a dancer, as well as techniques for transforming a location so that it best complements your subject.",Course,2020-10-07 20:22 UTC,N/A,false,N/A,
Power BI: Dashboards for Beginners (2020),"Get a short and simple beginner's guide to Power BI. In this quick course, Joshua Rischin demystifies the process of building dashboards in Power BI, the powerful business analytics and data visualization tool from Microsoft. Joshua begins with a quick primer on how Power BI dashboards work, including the building blocks of a dashboard. Next, he shows how to select the right data and connect it to your dashboard. You can then learn how to prepare and adjust the dashboard’s layout, select and configure a chart type, apply dashboard filters, and enhance the dashboard in a number of useful ways. These lessons make it easy even for novice users to turn raw data into a powerful story that can help drive better business decisions.",Course,2022-06-16 08:51 UTC,N/A,false,N/A,
IoT Foundations: Low-Power Wireless Networking,"The Internet of Things (IoT) has been significantly driven by the increasing number of networked devices with ubiquitous wireless connectivity. Low-power wireless networking is one of the most important connectivity technologies required by today's IoT systems, ranging from smart home appliances to smart city systems. In this course, explore the key technologies and foundations of low-power wireless networking for IoT.<br><br> 

Ryan Hu begins by introducing wireless networking for IoT, and going over the basics of wireless communication and wireless networking. Next, he presents and compares the underlying wireless networking technologies in terms of system architectures, communication paradigms, performance, and use cases. Then, he explains how to integrate various networking technologies into an IoT system. To wrap up, Ryan discusses the use of low-power wireless networking in a typical lighting control system for both smart home and smart city environments.",Course,2023-02-20 13:18 UTC,N/A,false,N/A,
Business Ethics,"<div><a href=""https://www.linkedin.com/newsletters/6823002513667706880?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bob's LinkedIn Newsletter</a></div><br>Ethical behavior is critical to the success of your career <i>and</i> your company. But ethics are not always black and white. Many factors can affect how people respond in ethically gray situations, including conflicts of interest, fear of failure, and business pressure. To ensure you have a strong ethical compass, you need to be informed and prepared. In this course, filled with practical examples and live-action scenarios, expert Bob McGannon helps you understand what business ethics are and why they are so important. Learn how to conduct an ethical self-check, apply ethical standards to your work with stakeholders and coworkers, and report any ethical issues that arise. Bob also describes how to promote ethical behavior from top to bottom and explains how ethics are evolving in rapidly changing world.",Course,2021-05-10 10:42 UTC,N/A,false,N/A,
Illustrator 2020 Essential Training,"Adobe Illustrator is the industry standard in vector drawing—for everything from minimalistic logos to full-blown illustrations. This course teaches core concepts and techniques that can be applied to any workflow, including digital and print publications. Instructor and professional illustrator Tony Harmer explains the essentials of Illustrator 2020, including artboards, workspaces, layers, and shapes. Tony shows how to make selections, draw and build complex shapes using the Illustrator drawing tools, and precisely color artwork with tools like swatches and gradient fills. He also covers how to organize artwork into groups and layers, combine and clean up paths, work with type and effects, leverage CC Libraries, export your work, and much more.",Course,2021-01-14 02:28 UTC,N/A,false,N/A,
Creating Interactive Tableau Dashboards,"Learn how to create compelling, informative, and eye-catching dashboards using Tableau, the interactive data visualization software. This course covers how to take the connected data you’ve analyzed and share it on presentable dashboards. Data analytics expert Matt Francis first encourages you to consider four main questions before creating each dashboard: who is your dashboard for, what do they need to know, where will the dashboard be displayed, and why is the information important. Then he takes you step by step through the process of making a dashboard, including designing a good layout, adding charts, labeling items, coloring elements, filtering the data displayed, and adding interactive features. Lastly, Matt discusses how to use storytelling and narrative to make data more engaging.",Course,2021-08-19 23:48 UTC,N/A,false,N/A,
Power BI Essential Training (2020),"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2023-04-08 19:21 UTC,N/A,false,N/A,
Learning Industrial Automation,"Industrial automation is the use of computers and robots to control industrial processes, like manufacturing, without significant human intervention. Used correctly, automation can increase the quality, safety, and accuracy of these processes. It's the job of the <i>people</i> in industrial automation to design the systems, configure the controllers, and monitor the processes. This course provides an overview of the topic, designed to help anyone hoping to enter the field in a role such as electrical or mechanical engineer, automation technician, or design manager.<br><br>

Learn about the components and networks involved at each level of automation: field level, control level, and management level. Explore the different devices involved, from the programmable logic controllers (PLCs) on the factory floor, to OPC software that give technicians insights into operations. Instructor Zahraa Khalil, an engineer and educator, also provides an overview of SCADA (supervisory control and data acquisition), an industrial control system architecture that enables supervision over large distances and multiple sites.",Course,2023-02-20 11:40 UTC,N/A,false,N/A,
Jodi Glickman on Pitching Yourself,"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2020-11-09 06:29 UTC,N/A,false,N/A,
R Essential Training Part 2: Modeling Data,"Trying to locate meaning and direction in big data is difficult. R can help you find your way. R is a statistical programming language to analyze and visualize the relationships between large amounts of data. It's one of the most important tools available for data analysis, machine learning, and data science. This training series provides a thorough introduction to R, with detailed instruction for working with R and RStudio and hands-on examples, from exploratory graphics to neural networks. In part two, <i>Modeling Data</i>, instructor Barton Poulson shows how to compute statistics, analyze data, predict outcomes, and group and classify cases. These are the fundamental techniques you need to generate meaningful insights for your organization.",Course,2022-10-13 11:50 UTC,N/A,false,N/A,
Excel Tips Weekly,"<p>This tips-based course will show Excel users productivity-boosting tricks, cool hidden features, need-to-know functions, and advanced content on subjects such as using PivotTables for data analysis. Tune in every Tuesday for a new tip from expert Dennis Taylor. Each tutorial is a short, self-contained lesson guaranteed to give you new insights into Excel.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2020-11-02 23:19 UTC,N/A,false,N/A,
Strategic Planning Foundations,"<div><a href=""https://www.linkedin.com/newsletters/the-thoughtleaders-brief-6922396815786999808/?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Mike's LinkedIn Newsletter</a></div><br>Join executive leadership consultant and coach Mike Figliuolo as he reveals how to implement a strategic planning process in your organization—a process that can be repeated yearly and ensures you get input from all relevant stakeholders. In this course, Mike shows you how to establish and articulate your organization's core competencies, vision, mission, and strategic filters. Using these criteria, he shows how to prioritize competing initiatives, how to allocate resources to best support those initiatives, and how all of these factors combine to create a compelling strategic plan.",Course,2022-04-30 06:29 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2020-11-24 00:00 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2022-06-10 04:06 UTC,N/A,false,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,2022-06-20 23:15 UTC,N/A,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2022-10-20 11:16 UTC,N/A,false,N/A,
Business Analyst and Project Manager Collaboration,"In a business environment where complexity and change are the norm, business analysts and project managers can collaborate together to get more successful results and better business outcomes. If you're a PM or BA, this course will help you understand what great collaboration looks like. Explore exactly what each role entails, and what the ideal partnership can achieve. Discover how BAs and PMs can collaborate at each stage of a project, from scope management and project planning to implementation. Then find out where the roles and responsibilities overlap, and learn how to coordinate on these tasks to enhance communication, reduce risk, engage stakeholders, and more effectively respond to change requests.",Course,2020-10-13 19:39 UTC,N/A,false,N/A,
Financial Accounting Foundations,"Businesses can’t operate unless they know if they’re in the red or black. Without an accurate financial picture, you can’t make purchasing, hiring, or any other important decisions. Financial accounting is the set of tools and techniques used to accurately gauge and report on the financial health of a company. In this course, finance professors Jim Stice and Earl Kay Stice teach you the basics. Get an overview of key financial statements, including the balance sheet and income statement, and the mechanics of accounting. Review some the current issues and emerging trends facing financial accountants, such as revenue recognition and tax deferral. Plus, learn how to read and analyze financial statements from publicly traded companies in order to ascertain company performance and value.",Course,2022-07-28 02:59 UTC,N/A,false,N/A,
Graphic Design Tips & Tricks,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6507615734686892032?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Art and Design Newsletter</a></div><br>John McWade, founder of <i>Before & After</i> and former senior staff author at LinkedIn Learning, presents a series that touches on all areas of design, helping designers new and old sharpen their skills and create more powerful work. This series covers a wide range of topics, from typography and layout to color and logo design, but each episode is a standalone technique that can be completed in just ten minutes or less.",Course,2020-09-25 03:37 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/How_to_Be_Awesome_at_Your_Job_LOGO.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2022-10-01 12:17 UTC,N/A,false,N/A,
SQL: Data Reporting and Analysis,"Do you rely on IT to get the data you need? Are you often stuck waiting in line for data, and wish you could just retrieve it yourself? In this course, learn how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database, you'll be able to manipulate it—merging it, grouping it, and relabeling it to get just the report you want. Join Emma Saunders as she shows how to write simple SQL queries for data reporting and analysis using a publicly accessible online database. Learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, she introduces views, procedures, functions, and variables.",Course,2022-11-04 01:54 UTC,N/A,false,N/A,
Learning SQL Programming,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Programming Languages Newsletter</a></div><br>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats.",Course,2022-07-11 14:58 UTC,N/A,false,N/A,
Learning Jira Software (2019),"Planning projects, assigning tasks, tracking progress, and releasing results can all be managed in Jira, the popular and collaborative software for development teams. In this course, Robert Anthony shares his expertise as he guides you through the fundamentals of using Jira. Robert digs deep into the tool's features, helping to transform everyday users into power users. Learn how to create tickets, locate issues assigned to you and others, use advanced search, create dashboards, and set up workflow boards to organize work. In addition, Robert facilitates several challenges and solutions, so you can practice what you learn as you follow along. This course covers elements of the new Jira experience, including next-gen boards and user projects.",Course,2023-02-20 11:39 UTC,N/A,false,N/A,
SQL for Finance Professionals,"If you work in the financial sector, one tool that may not come to mind when thinking about the day-to-day work in finance is SQL—structured query language. But SQL is the programming language used to query data, so it’s extremely useful for anyone who works with vast stores of information, including financial professionals. As more and more data gets produced from the proliferation of modern tools and technologies, it’s increasingly important to know how to handle all the new data, and in this course, Megan Lieu shows you how to do just that using SQL. She starts with the background of SQL, including use cases, SQL data types, how to query data, how to use functions to perform calculations, and more. She then delves into finance-specific applications of SQL, giving an overview of how SQL is used in finance, the difference when using data in fintech vs. finance, and shows you how to use SQL in combination with a more familiar financial sector tool, Excel.",Course,2023-03-23 11:45 UTC,N/A,false,N/A,
